Kanji,Reading,Meaning,Level
学芸,がくげい,arts and sciences; liberal arts,1
学士,がくし,university graduate; bachelor,1
学説,がくせつ,theory,1
楽譜,がくふ,score; sheet music,1
学歴,がくれき,academic background; academic credentials,1
崖,がけ,cliff; precipice,1
雅致,がち,artistry; good taste,1
がっくり,がっくり,heartbroken; crestfallen,1
合唱,がっしょう,singing together; singing in union,1
がっしり,がっしり,firmly; solidly,1
合致,がっち,agreement; concurrence,1
がっちり,がっちり,solid; robust,1
月日,がっぴ,time; years,1
合併,がっぺい,"merger (of companies, towns, etc.); combination",1
がる,がる,to show signs of being; to feel,1
側,がわ,first principle of the Eight Principles of Yong; tiny dash or speck,1
癌,がん,cancer,1
眼科,がんか,ophthalmology,1
眼球,がんきゅう,eyeball,1
眼鏡,がんきょう,glasses; eyeglasses,1
頑固,がんこ,stubborn; obstinate,1
願書,がんしょ,(written) application; written request,1
頑丈,がんじょう,solid; firm,1
岩石,がんせき,rock,1
元年,がんねん,first year (of an imperial era); year something (important) first happened or began,1
贋物,がんぶつ,spurious article; forgery,1
元来,がんらい,originally; essentially,1
生,き,life; living,1
期,き,time; moment,1
企画,きかく,planning; plan,1
規格,きかく,standard; norm,1
着飾る,きかざる,to dress up,1
器官,きかん,organ,1
季刊,きかん,quarterly publication,1
危害,きがい,injury; harm,1
気兼ね,きがね,constraint; reserve,1
気軽,きがる,carefree; buoyant,1
危機,きき,crisis; critical situation,1
聞き取り,ききとり,listening comprehension; aural comprehension,1
効き目,ききめ,effect; virtue,1
帰京,ききょう,returning (home) to Tokyo; returning to the capital,1
基金,ききん,fund; foundation,1
棄権,きけん,abstention (from voting); renunciation (of a right),1
喜劇,きげき,comedy,1
起源,きげん,origin; beginning,1
機構,きこう,mechanism; machinery,1
既婚,きこん,married,1
記載,きさい,mention (in a document); record,1
気障,きざ,affected; smug,1
兆し,きざし,sign; indication,1
兆,きざし,"10^12; 1,000,000,000,000",1
軋む,きしむ,to jar; to creak,1
気象,きしょう,weather (conditions); disposition,1
期日,きじつ,fixed date; appointed date,1
記述,きじゅつ,description; account,1
奇数,きすう,odd number,1
築く,きずく,to build; to construct,1
傷付く,きずつく,to be wounded; to get injured,1
規制,きせい,regulation; (traffic) policing,1
汽船,きせん,steamship; steamboat,1
寄贈,きそう,donation; presentation,1
貴族,きぞく,nobility; aristocracy,1
鍛える,きたえる,to forge; to temper,1
来る,きたる,to come (spatially or temporally); to approach,1
気立て,きだて,disposition; nature,1
きちっと,きちっと,exactly; perfectly,1
几帳面,きちょうめん,methodical; precise,1
切っ掛け,きっかけ,chance; start,1
きっかり,きっかり,exactly; just,1
喫茶,きっさ,tea drinking; teahouse,1
きっちり,きっちり,exactly; precisely,1
屹度,きっと,surely; undoubtedly,1
きっぱり,きっぱり,clearly; plainly,1
規定,きてい,stipulation; prescription,1
起点,きてん,starting point; origin,1
軌道,きどう,orbit; trajectory,1
甲,きのえ,treble range (in Japanese music); high note,1
気配,きはい,indication; sign,1
規範,きはん,model; standard,1
気品,きひん,elegance; refinement,1
気風,きふう,character; traits,1
起伏,きふく,undulation; ups and downs,1
規模,きぼ,scale; scope,1
気まぐれ,きまぐれ,whim; caprice,1
生真面目,きまじめ,overserious; deeply sincere,1
期末,きまつ,end of term,1
決まり悪い,きまりわるい,embarrassed; ashamed,1
決まる,きまる,to be decided; to be settled,1
記名,きめい,signature; signing one's name,1
脚色,きゃくしょく,dramatization (e.g. of a novel); dramatisation,1
脚本,きゃくほん,script; screenplay,1
客観,きゃっかん,objectivity; objective,1
規約,きやく,agreement; rules,1
救援,きゅうえん,relief; rescue,1
休学,きゅうがく,temporary absence from school,1
究極,きゅうきょく,ultimate; final,1
窮屈,きゅうくつ,narrow; tight,1
球根,きゅうこん,(plant) bulb,1
救済,きゅうさい,salvation (from suffering based on Buddha's teachings); relief,1
給食,きゅうしょく,"provision of lunch (e.g. at office, school, etc.); providing a meal",1
給仕,きゅうじ,waiting on a table; serving (at dinner),1
休戦,きゅうせん,cease-fire; truce,1
旧知,きゅうち,old friend; old acquaintance,1
宮殿,きゅうでん,palace,1
窮乏,きゅうぼう,poverty; destitution,1
丘陵,きゅうりょう,hill; hillock,1
共,きょう,including ...; with ...,1
供,きょう,companion; follower,1
驚異,きょうい,wonder; miracle,1
教員,きょういん,teacher; instructor,1
教科,きょうか,subject; curriculum,1
協会,きょうかい,association; society,1
共感,きょうかん,sympathy; empathy,1
共学,きょうがく,coeducation; mixed-sex education,1
協議,きょうぎ,conference; consultation,1
教訓,きょうくん,lesson; precept,1
境遇,きょうぐう,one's circumstances; environment,1
強行,きょうこう,forcing (e.g. a vote); carrying out (forcibly),1
強硬,きょうこう,firm; strong,1
凶作,きょうさく,bad harvest; poor crop,1
共産,きょうさん,communism; Communist Party,1
教材,きょうざい,teaching materials,1
教習,きょうしゅう,training; instruction,1
郷愁,きょうしゅう,nostalgia; homesickness,1
教職,きょうしょく,the teaching profession; education of laity,1
享受,きょうじゅ,"enjoyment (of freedom, beauty, etc.); reception (of a right, privilege, rank, etc.)",1
興じる,きょうじる,to amuse oneself; to make merry,1
強制,きょうせい,compulsion; coercion,1
共存,きょうそん,coexistence,1
姉妹,きょうだい,sisters,1
協調,きょうちょう,cooperation; conciliation,1
協定,きょうてい,arrangement; pact,1
脅迫,きょうはく,threat; menace,1
共鳴,きょうめい,"resonance; sympathy (with a view, idea, etc.)",1
郷里,きょうり,hometown; birthplace,1
強烈,きょうれつ,strong; intense,1
共和,きょうわ,republicanism; cooperation,1
曲,きょく,corner; nook,1
局限,きょくげん,limit; localize,1
極端,きょくたん,extreme; extremity,1
居住,きょじゅう,"residence; living (at, in)",1
拒絶,きょぜつ,refusal; rejection,1
拒否,きょひ,refusal; rejection,1
許容,きょよう,permission; allowance,1
距離,きょり,distance; range,1
寄与,きよ,contribution; service,1
清らか,きよらか,clean; clear,1
気楽,きらく,carefree; comfortable,1
煌びやか,きらびやか,gorgeous; gaudy,1
切り,きり,end; finish,1
桐,きり,paulownia (Paulownia tomentosa); empress tree,1
切り替える,きりかえる,to change; to switch,1
気流,きりゅう,atmospheric current; air current,1
奇麗,きれい,pretty; lovely,1
切れ目,きれめ,gap; break,1
際,きわ,edge; brink,1
木綿,きわた,"string made of cut steamed, soaked mulberry bark fibers; cotton (material)",1
極めて,きわめて,exceedingly; extremely,1
僅,きん,qin (7-stringed Chinese zither); guqin,1
近眼,きんがん,nearsightedness; shortsightedness,1
緊急,きんきゅう,urgency; emergency,1
近々,きんきん,soon; before long,1
近郊,きんこう,outskirts; environs (of a city),1
均衡,きんこう,balance; equilibrium,1
近視,きんし,myopia; shortsightedness,1
禁じる,きんじる,to forbid; to ban,1
禁ずる,きんずる,to forbid; to ban,1
勤勉,きんべん,diligent; hard-working,1
勤務,きんむ,service; duty,1
禁物,きんもつ,thing that should be (carefully) avoided; no-no,1
勤労,きんろう,labor; labour,1
議案,ぎあん,legislative bill; measure,1
戯曲,ぎきょく,drama; play,1
議決,ぎけつ,resolution; decision,1
議事堂,ぎじどう,assembly hall; parliament house,1
犠牲,ぎせい,sacrifice; victim (esp. someone killed),1
偽造,ぎぞう,forgery; counterfeiting,1
議題,ぎだい,topic of discussion; agenda,1
技能,ぎのう,technical skill; ability,1
逆転,ぎゃくてん,reversal (of a situation); turnaround,1
行,ぎょう,passage; paragraph,1
業者,ぎょうしゃ,trader; dealer,1
行政,ぎょうせい,executive; government,1
業績,ぎょうせき,achievement; performance,1
業務,ぎょうむ,business; work,1
玉,ぎょく,ball; sphere,1
漁船,ぎょせん,fishing boat,1
漁村,ぎょそん,fishing village,1
義理,ぎり,duty; sense of duty,1
疑惑,ぎわく,doubt; misgivings,1
吟味,ぎんみ,close examination; careful investigation,1
区,く,ward; borough,1
食い違う,くいちがう,to not match well (e.g. at the seams); to not mesh properly (of gears),1
空腹,くうふく,empty stomach; hunger,1
区画,くかく,division; section,1
区間,くかん,"section (of track, etc.); segment",1
茎,くき,stalk; stem,1
区切り,くぎり,"pause (in speech, writing, etc.); punctuation",1
潜る,くぐる,to go under; to pass under,1
種々,くさぐさ,various; a variety of,1
嚏,くしゃみ,sneeze; sneezing,1
旧事,くじ,past events; bygones,1
籤引,くじびき,lottery; drawn lot,1
擽ぐったい,くすぐったい,ticklish; embarrassing,1
草臥れる,くたびれる,to get tired; to become exhausted,1
下らない,くだらない,trivial; trifling,1
件,くだん,passage; paragraph,1
口ずさむ,くちずさむ,to hum (a tune); to sing to oneself,1
嘴,くちばし,beak; bill,1
朽ちる,くちる,to rot; to decay,1
くっきり,くっきり,clearly (standing out); distinctly,1
屈折,くっせつ,bending; curving,1
くっ付く,くっつく,to adhere to; to stick to,1
くっ付ける,くっつける,to attach; to stick together,1
覆す,くつがえす,to overturn; to capsize,1
諄い,くどい,repetitious; long-winded,1
国境,くにざかい,border (between countries); national border,1
首飾り,くびかざり,necklace; choker,1
首輪,くびわ,(animal) collar; necklace,1
組み合わせ,くみあわせ,combination; assortment,1
組み合わせる,くみあわせる,to put together; to combine,1
組み込む,くみこむ,to insert; to include,1
蔵,くら,possession; ownership,1
苦しめる,くるしめる,to torment; to pain,1
包む,くるむ,to wrap up (in); to roll up (in),1
呉れ呉れも,くれぐれも,sincerely; earnestly,1
呉れる,くれる,to give; to let (one) have,1
玄人,くろうと,expert; professional,1
黒字,くろじ,(being in) the black; surplus,1
君主,くんしゅ,monarch; sovereign,1
愚痴,ぐち,idle complaint; grumble,1
ぐっと,ぐっと,suddenly; at once,1
ぐらい,ぐらい,approximately; about,1
群,ぐん,gathering; group,1
軍艦,ぐんかん,warship; battleship,1
群集,ぐんしゅう,crowd; community,1
軍事,ぐんじ,military affairs,1
軍備,ぐんび,armaments; military preparations,1
軍服,ぐんぷく,military uniform,1
刑,けい,penalty; sentence,1
頃,けい,qing (Chinese unit of land area equal to 100 mu); time,1
傾,けい,slanting; tilted,1
系,けい,system; lineage,1
経過,けいか,passage (of time); elapsing,1
軽快,けいかい,light (of movements); nimble,1
警戒,けいかい,vigilance; caution,1
計器,けいき,meter; gauge,1
契機,けいき,opportunity; chance,1
敬具,けいぐ,yours sincerely; sincerely yours,1
軽減,けいげん,abatement; reduction,1
掲載,けいさい,publication (e.g. of an article in a newspaper); carrying (e.g. a story),1
傾斜,けいしゃ,inclination; slant,1
形成,けいせい,formation; molding,1
形勢,けいせい,condition; situation,1
軽率,けいそつ,rash; thoughtless,1
携帯,けいたい,carrying (on one's person or in the hand); mobile phone,1
形態,けいたい,form; shape,1
刑罰,けいばつ,(criminal) punishment; penalty,1
経費,けいひ,expenses; expenditure,1
警部,けいぶ,police inspector,1
軽蔑,けいべつ,contempt; scorn,1
経歴,けいれき,personal history; background,1
経路,けいろ,course; route,1
汚す,けがす,to pollute; to contaminate,1
