Kanji,Reading,Meaning,Level
難い,かたい,difficult to ...; hard to ...,1
片思い,かたおもい,unrequited love; one-sided love,1
敵,かたき,rival; opponent,1
気質,かたぎ,disposition; temperament,1
片言,かたこと,prattle; broken language,1
片付け,かたづけ,tidying up; finishing,1
傾く,かたぶく,to lean (esp. of a ripe ear of rice); to incline,1
傾ける,かたむける,to incline; to lean,1
固める,かためる,to harden; to freeze,1
偏る,かたよる,to lean (to one side); to incline,1
傍ら,かたわら,side; edge,1
課題,かだい,subject; theme,1
花壇,かだん,flower bed,1
家畜,かちく,domestic animals; livestock,1
画期,かっき,transition from one epoch to another; change of era,1
活発,かっぱつ,lively; active,1
且つ,かつ,and; moreover,1
割,かつ,rate; ratio,1
嘗て,かつて,once; before,1
日付,かづけ,date; dating,1
門,かど,gate; door,1
叶う,かなう,"to come true (of a dream, wish, etc.); to be realized",1
叶える,かなえる,"to grant (request, wish); to answer (prayer)",1
金槌,かなづち,hammer; hopeless swimmer,1
鉄棒,かなぼう,iron rod; iron bar,1
可成,かなり,considerably; fairly,1
加入,かにゅう,"joining (a club, organization, etc.); becoming a member",1
金庫,かねぐら,safe; strongbox,1
予言,かねごと,promise; prediction,1
兼ねて,かねて,previously; already,1
下番,かばん,going off duty,1
下品,かひん,vulgar; indecent,1
華美,かび,splendor; splendour,1
花粉,かふん,pollen,1
株式,かぶしき,share (in a company); stock,1
気触れる,かぶれる,to develop a rash or inflammation (e.g. in response to a skin irritant); to react to (something),1
貨幣,かへい,money; currency,1
構え,かまえ,structure; construction,1
構える,かまえる,"to set up (a house, store, etc.); to build",1
加味,かみ,seasoning; flavoring,1
噛み切る,かみきる,to bite off; to gnaw through,1
過密,かみつ,overcrowding; congestion,1
瓶,かめ,jar or vase with a long narrow neck; earthenware pot,1
かも知れない,かもしれない,may; might,1
粥,かゆ,thin rice porridge; watery cooked rice,1
痒い,かゆい,itchy,1
揶揄う,からかう,to tease; to make fun of,1
身体,からだ,body; physical system,1
体付き,からだつき,body build; figure,1
絡む,からむ,to twine; to get tangled,1
借り,かり,borrowing; debt,1
下吏,かり,lower official,1
加留多,かるた,karuta,1
涸れる,かれる,"to dry up (spring, pond, etc.); to run out",1
過労,かろう,overwork; strain,1
辛うじて,かろうじて,barely; narrowly,1
